# f_norm[GHz] T_norm[K]
0.408 24.736
0.408 26.994
0.408 25.359
0.408 24.733
0.408 23.491
0.408 23.633
0.408 22.607
0.408 21.478
0.408 20.532
0.408 24.249
0.408 22.560
0.408 23.614
0.408 21.758
0.408 19.796
0.408 18.369
0.408 19.223
0.408 17.303
0.408 28.013
0.408 26.592
0.408 28.054
0.408 25.945
0.408 24.997
0.408 23.889
0.408 24.483
0.408 23.649
0.408 27.908
0.408 26.045
0.408 27.821
0.408 26.455
0.408 24.729
0.408 23.414
0.408 24.927
0.408 22.869
0.408 22.936
0.408 21.188
0.408 22.327
0.408 20.314
0.408 18.937
0.408 16.282
0.408 17.796
0.408 15.200
0.408 21.334
0.408 18.541
0.408 20.690
0.408 17.993
0.408 16.013
0.408 14.215
0.408 15.032
0.408 13.503
0.408 13.714
0.408 15.370
0.408 13.894
0.408 14.540
0.408 20.331
0.408 20.919
0.408 15.323
0.408 14.598
0.408 14.816
0.408 14.428
0.408 15.314
0.408 15.362
0.408 14.441
0.408 14.452
0.408 14.920
0.408 14.813
0.408 16.040
0.408 15.750
0.408 14.565
0.408 15.795
0.408 16.466
0.408 16.164
0.408 16.265
0.408 15.892
0.408 15.345
0.408 16.221
0.408 15.791
0.408 17.145
0.408 16.672
0.408 17.164
0.408 18.503
0.408 20.204
0.408 15.567
0.408 15.616
0.408 16.310
0.408 15.826
0.408 14.914
0.408 15.172
0.408 15.765
0.408 17.884
0.408 17.915
0.408 18.361
0.408 18.376
0.408 20.406
0.408 18.749
0.408 21.698
0.408 21.444
0.408 23.851
0.408 16.899
0.408 18.959
0.408 20.807
0.408 23.744
0.408 21.401
0.408 25.219
0.408 25.701
0.408 30.239
0.408 26.430
0.408 32.069
0.408 30.252
0.408 48.376
0.408 34.580
0.408 37.547
0.408 60.978
0.408 54.739
0.408 16.490
0.408 18.969
0.408 16.429
0.408 19.454
0.408 24.140
0.408 33.885
0.408 25.840
0.408 38.600
0.408 18.278
0.408 22.714
0.408 22.839
0.408 31.364
0.408 32.798
0.408 52.533
0.408 52.879
0.408 79.587
0.408 49.670
0.408 75.462
0.408 61.084
0.408 94.042
0.408 118.910
0.408 151.025
0.408 120.215
0.408 116.396
0.408 77.455
0.408 92.902
0.408 84.253
0.408 72.049
0.408 87.240
0.408 69.400
0.408 57.314
0.408 48.512
0.408 31.519
0.408 49.822
0.408 40.719
0.408 64.946
0.408 88.256
0.408 99.481
0.408 88.667
0.408 73.411
0.408 45.029
0.408 52.997
0.408 47.469
0.408 39.691
0.408 52.290
0.408 41.976
0.408 33.645
0.408 29.669
0.408 69.620
0.408 50.047
0.408 47.707
0.408 36.285
0.408 42.484
0.408 39.558
0.408 33.353
0.408 31.722
0.408 33.377
0.408 27.350
0.408 26.260
0.408 22.864
0.408 25.239
0.408 24.643
0.408 21.029
0.408 20.401
0.408 17.898
0.408 20.915
0.408 18.593
0.408 21.535
0.408 23.895
0.408 26.005
0.408 27.484
0.408 30.612
0.408 20.725
0.408 22.858
0.408 23.458
0.408 25.229
0.408 28.010
0.408 31.608
0.408 27.692
0.408 28.382
0.408 32.589
0.408 64.907
0.408 33.848
0.408 51.813
0.408 94.378
0.408 68.415
0.408 69.770
0.408 54.880
0.408 32.273
0.408 36.817
0.408 28.313
0.408 30.524
0.408 40.087
0.408 38.115
0.408 31.709
0.408 31.685
0.408 25.933
0.408 28.878
0.408 28.496
0.408 31.111
0.408 29.461
0.408 27.001
0.408 30.286
0.408 25.948
0.408 31.000
0.408 32.128
0.408 29.995
0.408 28.467
0.408 29.812
0.408 24.778
0.408 26.144
0.408 22.421
0.408 26.021
0.408 27.305
0.408 23.146
0.408 23.212
0.408 28.017
0.408 26.995
0.408 23.224
0.408 21.849
0.408 21.195
0.408 20.061
0.408 19.156
0.408 17.836
0.408 18.734
0.408 16.695
0.408 16.019
0.408 14.307
0.408 43.310
0.408 32.326
0.408 36.237
0.408 29.645
0.408 27.538
0.408 25.655
0.408 26.105
0.408 22.956
0.408 33.317
0.408 30.370
0.408 31.266
0.408 31.386
0.408 26.715
0.408 21.361
0.408 28.143
0.408 22.414
0.408 23.702
0.408 21.174
0.408 20.845
0.408 19.428
0.408 19.810
0.408 19.439
0.408 19.059
0.408 20.208
0.408 18.350
0.408 17.234
0.408 18.406
0.408 16.986
0.408 17.470
0.408 19.555
0.408 16.654
0.408 17.170
0.408 27.203
0.408 28.627
0.408 20.832
0.408 21.368
0.408 26.704
0.408 22.527
0.408 21.217
0.408 20.188
0.408 15.655
0.408 16.177
0.408 14.384
0.408 15.958
0.408 16.368
0.408 16.405
0.408 15.859
0.408 15.252
0.408 18.851
0.408 17.186
0.408 18.614
0.408 17.591
0.408 15.712
0.408 14.609
0.408 15.727
0.408 13.852
0.408 16.284
0.408 16.992
0.408 14.929
0.408 16.328
0.408 16.168
0.408 14.789
0.408 17.078
0.408 16.892
0.408 18.651
0.408 19.694
0.408 18.710
0.408 19.269
0.408 20.266
0.408 20.486
0.408 19.716
0.408 20.428
0.408 18.170
0.408 18.345
0.408 18.098
0.408 18.359
0.408 19.272
0.408 20.379
0.408 18.850
0.408 19.863
0.408 20.384
0.408 19.511
0.408 20.570
0.408 19.571
0.408 17.770
0.408 16.385
0.408 18.281
0.408 17.894
0.408 21.075
0.408 20.691
0.408 20.818
0.408 20.801
0.408 19.697
0.408 18.885
0.408 19.886
0.408 18.464
0.408 18.403
0.408 18.295
0.408 18.325
0.408 17.776
0.408 18.146
0.408 18.770
0.408 17.256
0.408 17.872
0.408 17.678
0.408 16.397
0.408 16.971
0.408 15.176
0.408 15.428
0.408 16.264
0.408 14.384
0.408 15.231
0.408 19.637
0.408 19.821
0.408 18.809
0.408 19.386
0.408 18.921
0.408 17.236
0.408 18.903
0.408 17.837
0.408 17.523
0.408 19.133
0.408 16.851
0.408 19.446
0.408 19.812
0.408 20.147
0.408 21.154
0.408 22.492
0.408 16.311
0.408 16.751
0.408 17.979
0.408 17.883
0.408 17.186
0.408 18.079
0.408 18.193
0.408 19.052
0.408 18.338
0.408 18.348
0.408 17.302
0.408 17.142
0.408 18.622
0.408 18.901
0.408 17.178
0.408 17.786
0.408 19.242
0.408 20.615
0.408 20.181
0.408 21.722
0.408 21.987
0.408 22.494
0.408 23.402
0.408 24.235
0.408 19.883
0.408 21.267
0.408 19.606
0.408 21.992
0.408 23.274
0.408 25.269
0.408 24.088
0.408 26.087
0.408 16.274
0.408 16.230
0.408 17.424
0.408 17.090
0.408 16.132
0.408 16.688
0.408 16.894
0.408 17.329
0.408 19.722
0.408 19.434
0.408 22.066
0.408 22.313
0.408 19.395
0.408 19.077
0.408 23.061
0.408 22.083
0.408 18.724
0.408 21.978
0.408 18.825
0.408 22.010
0.408 24.589
0.408 25.969
0.408 24.747
0.408 26.032
0.408 19.822
0.408 22.285
0.408 21.585
0.408 22.794
0.408 23.871
0.408 25.744
0.408 24.092
0.408 26.659
0.408 16.832
0.408 15.400
0.408 17.292
0.408 16.003
0.408 15.032
0.408 16.196
0.408 15.961
0.408 18.243
0.408 17.556
0.408 16.421
0.408 17.666
0.408 17.757
0.408 17.883
0.408 20.342
0.408 20.313
0.408 22.434
0.408 18.550
0.408 20.965
0.408 20.385
0.408 22.147
0.408 22.884
0.408 24.188
0.408 24.056
0.408 24.843
0.408 21.712
0.408 22.874
0.408 23.505
0.408 23.530
0.408 24.103
0.408 24.845
0.408 23.598
0.408 24.578
0.408 18.705
0.408 19.884
0.408 20.391
0.408 21.814
0.408 22.672
0.408 24.802
0.408 24.277
0.408 25.436
0.408 21.951
0.408 23.591
0.408 24.365
0.408 25.700
0.408 25.334
0.408 25.798
0.408 27.050
0.408 27.475
0.408 24.723
0.408 23.150
0.408 24.478
0.408 23.071
0.408 23.133
0.408 24.824
0.408 23.168
0.408 24.760
0.408 25.076
0.408 24.468
0.408 27.054
0.408 26.843
0.408 24.440
0.408 25.905
0.408 27.232
0.408 29.459
0.408 23.399
0.408 23.953
0.408 23.222
0.408 23.125
0.408 25.734
0.408 25.044
0.408 25.973
0.408 27.615
0.408 23.841
0.408 23.094
0.408 25.198
0.408 25.007
0.408 25.841
0.408 29.151
0.408 26.839
0.408 29.861
0.408 23.814
0.408 24.278
0.408 27.149
0.408 26.387
0.408 25.681
0.408 28.078
0.408 26.776
0.408 28.148
0.408 30.415
0.408 29.309
0.408 32.219
0.408 33.605
0.408 28.501
0.408 29.164
0.408 32.356
0.408 33.229
0.408 25.897
0.408 26.067
0.408 26.667
0.408 28.726
0.408 27.875
0.408 31.444
0.408 31.155
0.408 36.624
0.408 29.289
0.408 34.093
0.408 33.871
0.408 40.927
0.408 37.737
0.408 43.137
0.408 45.492
0.408 51.640
0.408 35.395
0.408 39.860
0.408 45.488
0.408 52.255
0.408 40.164
0.408 40.289
0.408 54.523
0.408 54.374
0.408 55.715
0.408 66.616
0.408 68.640
0.408 88.685
0.408 75.057
0.408 84.267
0.408 113.005
0.408 131.869
0.408 18.565
0.408 19.045
0.408 19.584
0.408 20.184
0.408 19.344
0.408 19.167
0.408 21.166
0.408 21.187
0.408 20.235
0.408 20.582
0.408 20.256
0.408 20.351
0.408 21.596
0.408 20.984
0.408 20.301
0.408 19.705
0.408 18.723
0.408 18.212
0.408 20.422
0.408 19.537
0.408 18.288
0.408 18.233
0.408 18.739
0.408 18.195
0.408 20.129
0.408 19.470
0.408 19.676
0.408 19.951
0.408 19.120
0.408 19.498
0.408 20.103
0.408 20.742
0.408 20.286
0.408 19.617
0.408 19.465
0.408 17.763
0.408 18.598
0.408 19.088
0.408 17.531
0.408 18.884
0.408 17.329
0.408 16.058
0.408 15.537
0.408 15.601
0.408 17.333
0.408 18.378
0.408 17.662
0.408 19.002
0.408 19.816
0.408 20.111
0.408 19.320
0.408 19.512
0.408 20.466
0.408 21.450
0.408 20.693
0.408 21.878
0.408 18.598
0.408 19.119
0.408 18.768
0.408 19.316
0.408 20.524
0.408 21.560
0.408 20.636
0.408 20.946
0.408 17.236
0.408 16.269
0.408 18.372
0.408 18.901
0.408 16.284
0.408 16.628
0.408 19.079
0.408 19.068
0.408 20.305
0.408 20.750
0.408 21.559
0.408 22.192
0.408 20.809
0.408 21.338
0.408 23.162
0.408 24.114
0.408 16.827
0.408 17.231
0.408 19.341
0.408 20.024
0.408 17.796
0.408 17.978
0.408 20.100
0.408 19.490
0.408 21.856
0.408 21.785
0.408 24.253
0.408 23.593
0.408 21.383
0.408 20.750
0.408 23.302
0.408 22.744
0.408 22.264
0.408 23.511
0.408 22.591
0.408 23.895
0.408 24.799
0.408 25.620
0.408 25.460
0.408 26.699
0.408 22.053
0.408 23.342
0.408 21.445
0.408 22.772
0.408 25.372
0.408 26.665
0.408 24.257
0.408 25.256
0.408 25.799
0.408 25.540
0.408 27.180
0.408 27.185
0.408 25.117
0.408 24.547
0.408 25.991
0.408 24.789
0.408 26.906
0.408 26.888
0.408 25.533
0.408 25.313
0.408 25.528
0.408 24.257
0.408 24.619
0.408 24.478
0.408 15.258
0.408 15.784
0.408 15.613
0.408 16.221
0.408 18.383
0.408 19.877
0.408 19.313
0.408 20.072
0.408 16.105
0.408 17.482
0.408 17.216
0.408 19.010
0.408 19.918
0.408 19.684
0.408 19.907
0.408 19.365
0.408 19.136
0.408 19.462
0.408 19.181
0.408 19.601
0.408 20.248
0.408 20.232
0.408 19.931
0.408 19.974
0.408 19.394
0.408 19.906
0.408 19.791
0.408 19.937
0.408 20.002
0.408 20.240
0.408 19.955
0.408 20.805
0.408 18.429
0.408 19.637
0.408 19.358
0.408 19.140
0.408 19.256
0.408 19.082
0.408 18.596
0.408 18.779
0.408 19.986
0.408 18.775
0.408 20.339
0.408 19.219
0.408 18.920
0.408 19.933
0.408 19.695
0.408 21.243
0.408 19.472
0.408 20.041
0.408 19.521
0.408 20.980
0.408 20.639
0.408 21.492
0.408 22.075
0.408 22.592
0.408 21.220
0.408 22.064
0.408 22.411
0.408 22.486
0.408 22.523
0.408 22.855
0.408 22.800
0.408 23.165
0.408 20.947
0.408 21.938
0.408 20.738
0.408 21.474
0.408 23.170
0.408 24.353
0.408 22.321
0.408 23.803
0.408 20.885
0.408 21.861
0.408 21.768
0.408 22.396
0.408 22.350
0.408 24.203
0.408 23.590
0.408 26.411
0.408 25.203
0.408 25.128
0.408 26.112
0.408 27.137
0.408 25.043
0.408 25.681
0.408 27.244
0.408 27.849
0.408 27.673
0.408 29.639
0.408 29.663
0.408 31.969
0.408 30.260
0.408 31.516
0.408 33.567
0.408 35.501
0.408 22.053
0.408 23.305
0.408 23.526
0.408 25.060
0.408 25.510
0.408 28.175
0.408 26.529
0.408 28.679
0.408 23.897
0.408 25.508
0.408 23.522
0.408 24.868
0.408 26.891
0.408 29.306
0.408 27.467
0.408 31.278
0.408 30.420
0.408 32.495
0.408 30.639
0.408 32.393
0.408 34.700
0.408 37.198
0.408 34.666
0.408 38.301
0.408 31.748
0.408 33.814
0.408 34.832
0.408 38.532
0.408 37.102
0.408 42.968
0.408 44.022
0.408 52.719
0.408 17.608
0.408 17.285
0.408 17.841
0.408 17.315
0.408 17.447
0.408 17.473
0.408 17.307
0.408 16.860
0.408 17.883
0.408 17.164
0.408 17.526
0.408 16.703
0.408 16.915
0.408 16.387
0.408 16.355
0.408 15.378
0.408 16.556
0.408 15.467
0.408 16.057
0.408 15.682
0.408 15.241
0.408 15.383
0.408 15.342
0.408 14.872
0.408 15.563
0.408 14.986
0.408 14.357
0.408 14.020
0.408 14.492
0.408 14.553
0.408 15.236
0.408 18.503
0.408 16.927
0.408 16.419
0.408 16.691
0.408 15.995
0.408 15.702
0.408 14.388
0.408 14.823
0.408 13.900
0.408 16.937
0.408 15.562
0.408 16.910
0.408 15.105
0.408 14.485
0.408 13.371
0.408 13.952
0.408 12.594
0.408 13.753
0.408 13.484
0.408 13.407
0.408 13.050
0.408 14.434
0.408 15.115
0.408 12.331
0.408 11.832
0.408 13.006
0.408 12.570
0.408 12.812
0.408 12.261
0.408 11.798
0.408 11.866
0.408 12.259
0.408 12.615
0.408 15.726
0.408 16.155
0.408 14.700
0.408 14.931
0.408 16.455
0.408 16.571
0.408 14.885
0.408 14.837
0.408 14.575
0.408 13.996
0.408 15.570
0.408 12.951
0.408 13.584
0.408 13.714
0.408 13.036
0.408 13.492
0.408 16.645
0.408 16.156
0.408 14.854
0.408 15.031
0.408 15.292
0.408 14.416
0.408 15.035
0.408 14.139
0.408 13.927
0.408 14.347
0.408 13.607
0.408 14.644
0.408 14.636
0.408 14.842
0.408 15.670
0.408 15.423
0.408 12.689
0.408 12.019
0.408 11.665
0.408 12.181
0.408 12.804
0.408 13.334
0.408 13.150
0.408 13.655
0.408 12.376
0.408 13.192
0.408 13.718
0.408 14.346
0.408 13.569
0.408 13.612
0.408 13.549
0.408 13.033
0.408 13.777
0.408 16.258
0.408 13.890
0.408 14.305
0.408 16.437
0.408 15.438
0.408 14.449
0.408 15.376
0.408 13.549
0.408 13.412
0.408 13.215
0.408 13.652
0.408 14.125
0.408 15.933
0.408 14.552
0.408 16.153
0.408 16.113
0.408 14.485
0.408 15.084
0.408 14.061
0.408 13.420
0.408 12.590
0.408 13.372
0.408 12.801
0.408 14.433
0.408 13.735
0.408 14.353
0.408 13.711
0.408 13.356
0.408 13.183
0.408 13.321
0.408 13.391
0.408 12.824
0.408 12.758
0.408 13.348
0.408 13.450
0.408 12.832
0.408 13.211
0.408 13.364
0.408 14.376
0.408 14.275
0.408 13.899
0.408 14.430
0.408 14.513
0.408 14.450
0.408 15.405
0.408 15.484
0.408 16.037
0.408 14.630
0.408 13.791
0.408 14.900
0.408 13.777
0.408 12.944
0.408 13.483
0.408 13.159
0.408 13.936
0.408 15.258
0.408 14.307
0.408 16.084
0.408 16.060
0.408 14.739
0.408 15.159
0.408 17.244
0.408 17.170
0.408 14.201
0.408 15.442
0.408 14.573
0.408 16.242
0.408 16.466
0.408 17.004
0.408 17.336
0.408 17.875
0.408 15.802
0.408 17.813
0.408 18.285
0.408 20.263
0.408 18.757
0.408 19.454
0.408 20.270
0.408 20.908
0.408 14.304
0.408 13.892
0.408 14.716
0.408 13.339
0.408 12.821
0.408 12.953
0.408 12.876
0.408 13.932
0.408 15.104
0.408 13.995
0.408 15.620
0.408 15.494
0.408 14.315
0.408 15.304
0.408 16.979
0.408 17.843
0.408 13.407
0.408 13.788
0.408 13.956
0.408 13.536
0.408 14.568
0.408 16.139
0.408 14.646
0.408 16.844
0.408 15.346
0.408 14.861
0.408 17.682
0.408 17.716
0.408 16.762
0.408 19.237
0.408 19.943
0.408 22.384
0.408 16.905
0.408 18.113
0.408 19.401
0.408 22.135
0.408 20.024
0.408 20.840
0.408 23.090
0.408 23.039
0.408 23.953
0.408 28.187
0.408 26.444
0.408 31.491
0.408 26.443
0.408 24.396
0.408 28.325
0.408 25.070
0.408 20.381
0.408 21.287
0.408 22.763
0.408 24.552
0.408 23.305
0.408 24.465
0.408 25.862
0.408 26.565
0.408 24.271
0.408 26.950
0.408 26.156
0.408 29.219
0.408 28.546
0.408 29.606
0.408 30.644
0.408 31.439
0.408 17.427
0.408 17.850
0.408 17.362
0.408 17.861
0.408 18.145
0.408 18.239
0.408 17.922
0.408 17.987
0.408 17.930
0.408 17.956
0.408 17.809
0.408 17.310
0.408 17.576
0.408 17.326
0.408 16.770
0.408 16.359
0.408 18.349
0.408 18.407
0.408 18.093
0.408 18.175
0.408 18.222
0.408 17.811
0.408 17.950
0.408 17.724
0.408 17.315
0.408 17.397
0.408 16.450
0.408 17.210
0.408 17.390
0.408 17.375
0.408 17.706
0.408 17.601
0.408 16.585
0.408 15.844
0.408 15.365
0.408 15.141
0.408 15.879
0.408 16.087
0.408 15.904
0.408 16.374
0.408 15.044
0.408 15.194
0.408 15.226
0.408 15.493
0.408 16.148
0.408 16.900
0.408 16.513
0.408 18.324
0.408 16.545
0.408 17.628
0.408 17.188
0.408 18.930
0.408 18.074
0.408 17.894
0.408 19.319
0.408 19.058
0.408 18.321
0.408 20.269
0.408 20.096
0.408 21.029
0.408 20.496
0.408 20.837
0.408 21.492
0.408 22.027
0.408 17.704
0.408 17.811
0.408 17.702
0.408 17.922
0.408 18.007
0.408 18.302
0.408 18.459
0.408 19.460
0.408 17.505
0.408 18.139
0.408 17.729
0.408 18.226
0.408 18.974
0.408 20.437
0.408 19.572
0.408 21.531
0.408 19.430
0.408 21.128
0.408 21.091
0.408 23.195
0.408 23.170
0.408 26.115
0.408 25.811
0.408 28.426
0.408 22.305
0.408 24.445
0.408 23.434
0.408 25.863
0.408 26.854
0.408 28.919
0.408 28.563
0.408 30.917
0.408 17.952
0.408 18.802
0.408 19.542
0.408 21.101
0.408 21.012
0.408 23.423
0.408 23.216
0.408 25.788
0.408 21.674
0.408 23.101
0.408 22.478
0.408 23.537
0.408 24.176
0.408 25.692
0.408 24.267
0.408 24.649
0.408 25.561
0.408 27.386
0.408 26.879
0.408 27.247
0.408 29.985
0.408 31.645
0.408 29.243
0.408 30.910
0.408 25.746
0.408 25.915
0.408 24.673
0.408 26.308
0.408 28.534
0.408 31.606
0.408 29.890
0.408 33.112
0.408 15.801
0.408 16.114
0.408 16.688
0.408 17.817
0.408 18.026
0.408 20.125
0.408 19.411
0.408 20.191
0.408 17.694
0.408 19.067
0.408 18.300
0.408 18.446
0.408 19.059
0.408 19.063
0.408 17.542
0.408 17.984
0.408 21.415
0.408 22.343
0.408 21.682
0.408 23.280
0.408 22.561
0.408 22.278
0.408 22.444
0.408 21.667
0.408 20.389
0.408 21.501
0.408 19.119
0.408 20.818
0.408 21.585
0.408 22.060
0.408 22.695
0.408 23.665
0.408 17.714
0.408 16.497
0.408 16.186
0.408 15.167
0.408 16.286
0.408 17.488
0.408 15.960
0.408 17.179
0.408 14.878
0.408 15.478
0.408 14.313
0.408 15.578
0.408 17.102
0.408 19.181
0.408 21.286
0.408 25.131
0.408 18.923
0.408 20.386
0.408 18.260
0.408 18.177
0.408 21.478
0.408 22.133
0.408 18.139
0.408 17.964
0.408 18.009
0.408 16.648
0.408 18.647
0.408 15.797
0.408 16.258
0.408 15.743
0.408 15.669
0.408 15.587
0.408 22.047
0.408 23.363
0.408 22.084
0.408 24.134
0.408 25.157
0.408 26.075
0.408 27.151
0.408 30.041
0.408 23.304
0.408 25.929
0.408 24.860
0.408 26.488
0.408 29.627
0.408 32.596
0.408 28.950
0.408 30.684
0.408 26.618
0.408 29.098
0.408 31.520
0.408 33.985
0.408 34.225
0.408 37.677
0.408 39.518
0.408 43.992
0.408 33.785
0.408 37.156
0.408 31.722
0.408 35.330
0.408 44.153
0.408 51.362
0.408 44.734
0.408 56.578
0.408 23.175
0.408 25.023
0.408 18.910
0.408 21.745
0.408 26.713
0.408 27.715
0.408 24.436
0.408 27.217
0.408 16.570
0.408 19.375
0.408 16.146
0.408 18.710
0.408 23.518
0.408 29.210
0.408 23.633
0.408 31.454
0.408 29.690
0.408 34.798
0.408 31.109
0.408 37.831
0.408 45.472
0.408 61.094
0.408 49.760
0.408 68.390
0.408 35.133
0.408 45.179
0.408 40.623
0.408 56.647
0.408 60.616
0.408 88.072
0.408 85.606
0.408 124.369
