# f_norm[GHz] T_norm[K]
0.408 19.147
0.408 19.533
0.408 19.715
0.408 19.008
0.408 17.754
0.408 18.869
0.408 17.432
0.408 17.293
0.408 17.695
0.408 17.330
0.408 17.734
0.408 19.054
0.408 17.960
0.408 19.286
0.408 18.192
0.408 17.814
0.408 17.664
0.408 18.019
0.408 18.066
0.408 23.384
0.408 22.556
0.408 24.961
0.408 23.933
0.408 21.538
0.408 20.819
0.408 22.274
0.408 20.987
0.408 24.360
0.408 23.356
0.408 22.134
0.408 21.196
0.408 21.946
0.408 20.747
0.408 20.032
0.408 18.751
0.408 19.383
0.408 18.082
0.408 20.095
0.408 18.850
0.408 17.878
0.408 17.798
0.408 17.879
0.408 17.556
0.408 19.550
0.408 18.187
0.408 18.104
0.408 17.840
0.408 17.871
0.408 17.718
0.408 17.664
0.408 16.465
0.408 18.033
0.408 17.901
0.408 17.663
0.408 17.595
0.408 17.457
0.408 16.831
0.408 17.278
0.408 16.602
0.408 17.558
0.408 17.039
0.408 17.375
0.408 16.341
0.408 16.583
0.408 16.185
0.408 15.926
0.408 15.670
0.408 15.386
0.408 13.960
0.408 15.275
0.408 14.837
0.408 14.090
0.408 14.848
0.408 15.432
0.408 16.039
0.408 15.540
0.408 15.817
0.408 15.249
0.408 15.249
0.408 16.154
0.408 16.640
0.408 15.600
0.408 16.117
0.408 17.176
0.408 16.752
0.408 16.917
0.408 16.136
0.408 16.525
0.408 16.007
0.408 16.051
0.408 16.092
0.408 16.370
0.408 15.637
0.408 15.279
0.408 15.096
0.408 15.871
0.408 15.857
0.408 15.082
0.408 15.124
0.408 15.069
0.408 14.887
0.408 15.538
0.408 15.467
0.408 15.138
0.408 15.311
0.408 15.276
0.408 15.025
0.408 15.501
0.408 15.160
0.408 15.206
0.408 15.281
0.408 14.890
0.408 14.956
0.408 15.392
0.408 15.745
0.408 28.211
0.408 25.053
0.408 25.069
0.408 23.159
0.408 22.461
0.408 19.579
0.408 20.025
0.408 17.371
0.408 20.531
0.408 19.344
0.408 18.683
0.408 17.047
0.408 17.532
0.408 15.657
0.408 15.475
0.408 14.411
0.408 17.253
0.408 16.680
0.408 15.923
0.408 15.942
0.408 15.412
0.408 14.058
0.408 14.872
0.408 14.032
0.408 14.554
0.408 14.386
0.408 13.736
0.408 13.035
0.408 13.169
0.408 12.598
0.408 11.990
0.408 11.353
0.408 18.137
0.408 16.298
0.408 17.061
0.408 15.535
0.408 14.906
0.408 14.169
0.408 14.512
0.408 13.803
0.408 17.473
0.408 15.645
0.408 19.672
0.408 16.774
0.408 14.258
0.408 13.076
0.408 14.523
0.408 13.053
0.408 13.115
0.408 11.986
0.408 12.514
0.408 11.586
0.408 11.191
0.408 11.056
0.408 10.963
0.408 11.004
0.408 12.193
0.408 11.366
0.408 12.451
0.408 11.418
0.408 10.810
0.408 11.294
0.408 11.060
0.408 12.061
0.408 14.459
0.408 16.707
0.408 14.735
0.408 16.207
0.408 16.586
0.408 15.824
0.408 16.604
0.408 16.403
0.408 13.574
0.408 15.329
0.408 12.247
0.408 14.258
0.408 16.214
0.408 16.133
0.408 14.992
0.408 14.679
0.408 15.676
0.408 16.431
0.408 16.078
0.408 16.120
0.408 17.134
0.408 17.518
0.408 16.520
0.408 16.968
0.408 15.951
0.408 15.851
0.408 15.388
0.408 15.584
0.408 16.156
0.408 16.568
0.408 15.681
0.408 16.727
0.408 11.862
0.408 13.263
0.408 11.993
0.408 12.753
0.408 13.356
0.408 13.096
0.408 12.104
0.408 12.563
0.408 12.415
0.408 12.112
0.408 12.868
0.408 12.256
0.408 11.723
0.408 12.538
0.408 12.283
0.408 12.856
0.408 14.765
0.408 14.994
0.408 14.216
0.408 14.558
0.408 15.309
0.408 16.854
0.408 15.098
0.408 16.528
0.408 14.018
0.408 14.515
0.408 13.951
0.408 14.859
0.408 15.172
0.408 15.932
0.408 15.304
0.408 15.624
0.408 20.550
0.408 17.515
0.408 19.228
0.408 17.130
0.408 14.963
0.408 13.526
0.408 14.601
0.408 13.041
0.408 17.181
0.408 15.584
0.408 15.621
0.408 13.828
0.408 13.317
0.408 12.018
0.408 12.102
0.408 11.415
0.408 12.964
0.408 12.069
0.408 12.837
0.408 12.738
0.408 11.901
0.408 12.976
0.408 12.654
0.408 13.934
0.408 12.251
0.408 12.427
0.408 11.821
0.408 11.928
0.408 12.722
0.408 14.245
0.408 12.762
0.408 14.288
0.408 14.405
0.408 12.768
0.408 13.533
0.408 12.046
0.408 11.400
0.408 11.050
0.408 11.052
0.408 10.785
0.408 12.872
0.408 11.816
0.408 12.759
0.408 12.231
0.408 11.304
0.408 11.012
0.408 11.935
0.408 11.665
0.408 11.001
0.408 11.527
0.408 10.640
0.408 11.328
0.408 12.686
0.408 13.960
0.408 12.429
0.408 13.598
0.408 10.946
0.408 11.459
0.408 11.617
0.408 12.196
0.408 12.532
0.408 14.031
0.408 13.460
0.408 14.393
0.408 13.307
0.408 12.913
0.408 14.338
0.408 14.417
0.408 13.229
0.408 13.680
0.408 14.647
0.408 14.827
0.408 15.403
0.408 15.484
0.408 15.504
0.408 15.258
0.408 15.282
0.408 15.433
0.408 15.244
0.408 15.622
0.408 14.275
0.408 15.420
0.408 14.945
0.408 16.349
0.408 15.708
0.408 15.718
0.408 16.200
0.408 16.044
0.408 15.651
0.408 16.621
0.408 16.093
0.408 16.482
0.408 16.230
0.408 16.232
0.408 16.121
0.408 15.897
0.408 14.688
0.408 14.670
0.408 14.222
0.408 14.140
0.408 15.048
0.408 16.011
0.408 14.697
0.408 16.120
0.408 14.404
0.408 13.990
0.408 14.615
0.408 15.425
0.408 14.981
0.408 16.187
0.408 16.302
0.408 16.382
0.408 16.591
0.408 17.074
0.408 16.688
0.408 17.176
0.408 16.532
0.408 15.852
0.408 16.602
0.408 16.158
0.408 16.791
0.408 16.596
0.408 15.911
0.408 15.300
0.408 15.959
0.408 16.167
0.408 15.391
0.408 16.152
0.408 124.741
0.408 86.695
0.408 87.800
0.408 67.822
0.408 66.951
0.408 64.120
0.408 58.207
0.408 52.848
0.408 56.964
0.408 52.928
0.408 44.059
0.408 44.089
0.408 52.693
0.408 46.962
0.408 50.457
0.408 44.936
0.408 64.018
0.408 62.766
0.408 52.520
0.408 53.721
0.408 58.121
0.408 47.597
0.408 49.731
0.408 41.492
0.408 44.625
0.408 45.206
0.408 39.597
0.408 38.904
0.408 40.757
0.408 35.353
0.408 35.805
0.408 33.166
0.408 37.924
0.408 41.405
0.408 30.051
0.408 30.667
0.408 64.315
0.408 58.578
0.408 47.980
0.408 54.587
0.408 24.360
0.408 23.240
0.408 20.716
0.408 20.810
0.408 26.245
0.408 31.766
0.408 22.821
0.408 27.277
0.408 38.931
0.408 36.289
0.408 38.540
0.408 36.147
0.408 35.901
0.408 33.917
0.408 35.278
0.408 31.343
0.408 34.159
0.408 34.671
0.408 31.797
0.408 29.850
0.408 30.930
0.408 26.779
0.408 26.532
0.408 24.632
0.408 41.127
0.408 37.202
0.408 37.323
0.408 34.523
0.408 33.060
0.408 32.335
0.408 32.822
0.408 32.825
0.408 33.400
0.408 32.204
0.408 32.284
0.408 30.839
0.408 31.282
0.408 30.542
0.408 29.194
0.408 27.629
0.408 33.990
0.408 32.710
0.408 33.153
0.408 31.577
0.408 29.814
0.408 26.976
0.408 29.197
0.408 26.899
0.408 29.861
0.408 28.876
0.408 27.036
0.408 27.068
0.408 28.173
0.408 27.323
0.408 27.511
0.408 27.018
0.408 31.372
0.408 28.719
0.408 27.481
0.408 25.006
0.408 26.818
0.408 25.829
0.408 24.186
0.408 24.638
0.408 23.884
0.408 22.202
0.408 22.241
0.408 20.965
0.408 22.193
0.408 22.864
0.408 21.112
0.408 21.103
0.408 25.904
